CategoryName,SubCategoryName,ActivityName,TaskName,ParentTaskName,TaskDescription,DepartmentName,UserName,AssignedDate,CloseDate,BookedDate,Hours
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-19,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-20,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-21,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-22,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-25,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-26,8
Design and Engineering,Electrical System Design,Electrical System Design,Electrical calculations,,Prepare load and short circuit calculations,Electrical Eng,Jessica Brown,2026-05-18,2026-06-12,2026-05-27,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-02-24,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-02-25,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-02-26,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-02-27,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-03-02,8
Design and Engineering,Cooling System Design,Cooling System Design,Chilled water system design,,Design the chilled water supply and return system,Mechanical Engineering,Marcus Brown,2026-02-24,2026-03-27,2026-03-03,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-03-30,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-03-31,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-04-01,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-04-02,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-04-07,8
Design and Engineering,Cooling System Design,Cooling System Design,CRAC unit layout,,Design the computer room air conditioning unit layout,Mechanical Engineering,Marcus Brown,2026-03-30,2026-04-24,2026-04-08,8
Design and Engineering,Cooling System Design,Cooling System Design,BMS architecture,,Design the building management system architecture,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-22,2026-04-27,8
Design and Engineering,Cooling System Design,Cooling System Design,BMS architecture,,Design the building management system architecture,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-22,2026-04-28,8
Design and Engineering,Cooling System Design,Cooling System Design,BMS architecture,,Design the building management system architecture,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-22,2026-04-29,8
Design and Engineering,Cooling System Design,Cooling System Design,BMS architecture,,Design the building management system architecture,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-22,2026-04-30,8
Design and Engineering,Cooling System Design,Cooling System Design,BMS architecture,,Design the building management system architecture,Mechanical Engineering,Marcus Brown,2026-04-27,2026-05-22,2026-05-04,8
Design and Engineering,Cooling System Design,Cooling System Design,Hydraulic calculations,,Prepare chilled water system hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-25,2026-06-19,2026-05-25,8
Design and Engineering,Cooling System Design,Cooling System Design,Hydraulic calculations,,Prepare chilled water system hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-25,2026-06-19,2026-05-26,8
Design and Engineering,Cooling System Design,Cooling System Design,Hydraulic calculations,,Prepare chilled water system hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-25,2026-06-19,2026-05-27,8
Design and Engineering,Cooling System Design,Cooling System Design,Hydraulic calculations,,Prepare chilled water system hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-25,2026-06-19,2026-05-28,8
Design and Engineering,Cooling System Design,Cooling System Design,Hydraulic calculations,,Prepare chilled water system hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-25,2026-06-19,2026-05-29,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire suppression layout,,Design the fire suppression system layout,Mechanical Engineering,Marcus Brown,2026-03-10,2026-04-03,2026-03-10,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire suppression layout,,Design the fire suppression system layout,Mechanical Engineering,Marcus Brown,2026-03-10,2026-04-03,2026-03-11,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire suppression layout,,Design the fire suppression system layout,Mechanical Engineering,Marcus Brown,2026-03-10,2026-04-03,2026-03-12,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire suppression layout,,Design the fire suppression system layout,Mechanical Engineering,Marcus Brown,2026-03-10,2026-04-03,2026-03-13,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire suppression layout,,Design the fire suppression system layout,Mechanical Engineering,Marcus Brown,2026-03-10,2026-04-03,2026-03-16,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire detection design,,Design the fire detection and alarm system,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-30,2026-04-06,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire detection design,,Design the fire detection and alarm system,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-30,2026-04-07,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire detection design,,Design the fire detection and alarm system,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-30,2026-04-08,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire detection design,,Design the fire detection and alarm system,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-30,2026-04-09,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Fire detection design,,Design the fire detection and alarm system,Mechanical Engineering,Marcus Brown,2026-04-06,2026-04-30,2026-04-13,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-04,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-05,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-06,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-07,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-08,8
Design and Engineering,Fire Suppression Design,Fire Suppression Design,Hydraulic calculations,,Prepare fire suppression hydraulic calculations,Mechanical Engineering,Marcus Brown,2026-05-04,2026-05-29,2026-05-11,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Site clearing,,Clear and prepare the construction site,Structural Engineering,Rebecca Henderson,2026-05-05,2026-05-15,2026-05-05,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Site clearing,,Clear and prepare the construction site,Structural Engineering,Rebecca Henderson,2026-05-05,2026-05-15,2026-05-06,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Site clearing,,Clear and prepare the construction site,Structural Engineering,Anne Mills,2026-05-05,2026-05-15,2026-05-05,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Site clearing,,Clear and prepare the construction site,Structural Engineering,Anne Mills,2026-05-05,2026-05-15,2026-05-06,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Site clearing,,Clear and prepare the construction site,Structural Engineering,Anne Mills,2026-05-05,2026-05-15,2026-05-07,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Earthworks,,Conduct earthworks and excavation,Structural Engineering,Anne Mills,2026-05-18,2026-05-29,2026-05-18,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Earthworks,,Conduct earthworks and excavation,Structural Engineering,Anne Mills,2026-05-18,2026-05-29,2026-05-19,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Earthworks,,Conduct earthworks and excavation,Structural Engineering,Anne Mills,2026-05-18,2026-05-29,2026-05-20,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Earthworks,,Conduct earthworks and excavation,Structural Engineering,Anne Mills,2026-05-18,2026-05-29,2026-05-21,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Earthworks,,Conduct earthworks and excavation,Structural Engineering,Rebecca Henderson,2026-05-18,2026-05-29,2026-05-19,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Foundation preparation,,Prepare and inspect foundation bearing surfaces,Structural Engineering,Rebecca Henderson,2026-06-01,2026-06-12,2026-06-01,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Foundation preparation,,Prepare and inspect foundation bearing surfaces,Structural Engineering,Rebecca Henderson,2026-06-01,2026-06-12,2026-06-02,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Foundation preparation,,Prepare and inspect foundation bearing surfaces,Structural Engineering,Anne Mills,2026-06-01,2026-06-12,2026-06-01,8
Facility Construction and Fit-Out,Site Preparation,Site Preparation,Foundation preparation,,Prepare and inspect foundation bearing surfaces,Structural Engineering,Anne Mills,2026-06-01,2026-06-12,2026-06-02,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Foundation construction,,Construct the foundation system,Structural Engineering,Rebecca Henderson,2026-05-26,2026-06-26,2026-05-26,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Foundation construction,,Construct the foundation system,Structural Engineering,Rebecca Henderson,2026-05-26,2026-06-26,2026-05-27,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Foundation construction,,Construct the foundation system,Structural Engineering,Rebecca Henderson,2026-05-26,2026-06-26,2026-05-28,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Foundation construction,,Construct the foundation system,Structural Engineering,Anne Mills,2026-05-26,2026-06-26,2026-05-26,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Foundation construction,,Construct the foundation system,Structural Engineering,Anne Mills,2026-05-26,2026-06-26,2026-05-27,8
Facility Construction and Fit-Out,Structural Work,Structural Work,Steel frame erection,,Erect the primary steel frame structure,Structural Engineering,Rebecca Henderson,2026-06-29,2026-07-17,,
Facility Construction and Fit-Out,Structural Work,Structural Work,Concrete works,,Pour and finish the reinforced concrete elements,Structural Engineering,Anne Mills,2026-07-06,2026-07-24,,
Facility Construction and Fit-Out,Structural Work,Structural Work,Roof structure,,Construct the roof structure and waterproofing,Structural Engineering,Anne Mills,2026-07-20,2026-07-31,,
Facility Construction and Fit-Out,Raised Floor Installation,Raised Floor Installation,Pedestal installation,,Install raised floor pedestals and supports,Structural Engineering,Anne Mills,2026-07-07,2026-07-17,,
Facility Construction and Fit-Out,Raised Floor Installation,Raised Floor Installation,Panel installation,,Install and fit raised floor panels,Structural Engineering,Anne Mills,2026-07-20,2026-07-31,,
Facility Construction and Fit-Out,Raised Floor Installation,Raised Floor Installation,Leveling and inspection,,Level and inspect the completed raised floor system,Structural Engineering,Rebecca Henderson,2026-08-03,2026-08-07,,
Facility Construction and Fit-Out,Building Finishing,Building Finishing,Wall and ceiling finishes,,Apply internal wall and ceiling finishes,Structural Engineering,Anne Mills,2026-07-28,2026-08-14,,
Facility Construction and Fit-Out,Building Finishing,Building Finishing,Flooring,,Install flooring in non-raised floor areas,Structural Engineering,Anne Mills,2026-08-10,2026-08-21,,
Facility Construction and Fit-Out,Building Finishing,Building Finishing,Doors and access points,,Install doors and access control entry points,Structural Engineering,Rebecca Henderson,2026-08-17,2026-08-28,,
Facility Construction and Fit-Out,Power Supply Installation,Power Supply Installation,Main switchboard installation,,Install the main electrical switchboard,Electrical Eng,Jessica Brown,2026-06-23,2026-07-10,,
Facility Construction and Fit-Out,Power Supply Installation,Power Supply Installation,UPS installation,,Install and commission the UPS units,Electrical Eng,Jessica Brown,2026-07-13,2026-07-31,,
Facility Construction and Fit-Out,Power Supply Installation,Power Supply Installation,Generator installation,,Install and commission the standby generators,Electrical Eng,Robert Martinez,2026-07-27,2026-08-14,,
Facility Construction and Fit-Out,Power Supply Installation,Power Supply Installation,Power cable installation,,Install high and low voltage power cables,Electrical Eng,Robert Martinez,2026-08-03,2026-08-21,,
Facility Construction and Fit-Out,Cooling System Installation,Cooling System Installation,Chiller installation,,Install and commission the chiller units,Mechanical Engineering,Marcus Brown,2026-06-23,2026-07-17,,
Facility Construction and Fit-Out,Cooling System Installation,Cooling System Installation,CRAC unit installation,,Install and commission the CRAC units,Mechanical Engineering,Marcus Brown,2026-07-13,2026-08-07,,
Facility Construction and Fit-Out,Cooling System Installation,Cooling System Installation,Pipework installation,,Install chilled water and condensate pipework,Mechanical Engineering,Marcus Brown,2026-07-27,2026-08-21,,
Facility Construction and Fit-Out,Cooling System Installation,Cooling System Installation,BMS installation,,Install and configure the building management system,Mechanical Engineering,Marcus Brown,2026-08-10,2026-08-28,,
Facility Construction and Fit-Out,Fire System Installation,Fire System Installation,Suppression system installation,,Install the fire suppression pipework and nozzles,Mechanical Engineering,Marcus Brown,2026-07-14,2026-08-07,,
Facility Construction and Fit-Out,Fire System Installation,Fire System Installation,Detection system installation,,Install the fire detection sensors and alarm panels,Mechanical Engineering,Marcus Brown,2026-07-27,2026-08-21,,
Facility Construction and Fit-Out,Fire System Installation,Fire System Installation,Testing and handover,,Test and hand over the fire system to the authorities,Mechanical Engineering,Marcus Brown,2026-08-17,2026-08-28,,
IT Infrastructure Installation,Cable Tray and Network Cabling,Cable Tray and Network Cabling,Cable tray installation,,Install cable trays and conduit runs throughout the facility,Electrical Eng,Robert Martinez,2026-08-04,2026-08-21,,
IT Infrastructure Installation,Cable Tray and Network Cabling,Cable Tray and Network Cabling,Network cable pulling,,Pull and route network cables through the installed trays,Electrical Eng,Robert Martinez,2026-08-17,2026-09-04,,
IT Infrastructure Installation,Cable Tray and Network Cabling,Cable Tray and Network Cabling,Cable termination and testing,,Terminate and test all network cable runs,Electrical Eng,Robert Martinez,2026-08-31,2026-09-11,,
IT Infrastructure Installation,Rack and Cabinet Installation,Rack and Cabinet Installation,Rack positioning,,Position and anchor server racks on the raised floor,Electrical Eng,Robert Martinez,2026-08-18,2026-08-28,,
IT Infrastructure Installation,Rack and Cabinet Installation,Rack and Cabinet Installation,Cabinet assembly,,Assemble and fit-out network cabinets,Electrical Eng,Robert Martinez,2026-08-31,2026-09-11,,
IT Infrastructure Installation,Rack and Cabinet Installation,Rack and Cabinet Installation,Grounding and bonding,,Connect racks to the facility earthing and bonding system,Electrical Eng,Robert Martinez,2026-09-14,2026-09-18,,
IT Infrastructure Installation,Server and Storage Hardware Installation,Server and Storage Hardware Installation,Server racking,,Rack-mount and cable all server hardware,Electrical Eng,Jessica Brown,2026-09-01,2026-09-18,,
IT Infrastructure Installation,Server and Storage Hardware Installation,Server and Storage Hardware Installation,Storage array installation,,Install and cable the storage arrays,Electrical Eng,Jessica Brown,2026-09-21,2026-10-02,,
IT Infrastructure Installation,Server and Storage Hardware Installation,Server and Storage Hardware Installation,Power and cable management,,Install PDUs and manage rack cabling,Electrical Eng,Robert Martinez,2026-09-28,2026-10-09,,
IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,Hardware installation,,Rack and cable network switches and routers,Electrical Eng,Jessica Brown,2026-09-15,2026-09-25,,
IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,Network configuration,,Configure switch and router operating parameters,Electrical Eng,Jessica Brown,2026-09-28,2026-10-23,,
IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,VLAN setup,Network configuration,Configure VLANs and inter-VLAN routing policies,Electrical Eng,Jessica Brown,2026-09-28,2026-10-09,,
IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,Routing protocol setup,Network configuration,Configure routing protocols and redundancy failover,Electrical Eng,Jessica Brown,2026-10-12,2026-10-23,,
IT Infrastructure Installation,Network Switch and Router Configuration,Network Switch and Router Configuration,Connectivity testing,,Test end-to-end network connectivity and performance,Electrical Eng,Jessica Brown,2026-10-26,2026-10-30,,
Testing and Commissioning,Electrical Load Testing,Electrical Load Testing,Test plan preparation,,Prepare the electrical load testing plan and procedures,Electrical Eng,Jessica Brown,2026-09-22,2026-10-02,,
Testing and Commissioning,Electrical Load Testing,Electrical Load Testing,Load bank testing,,Conduct load bank testing of the power systems,Electrical Eng,Jessica Brown,2026-10-05,2026-10-16,,
Testing and Commissioning,Electrical Load Testing,Electrical Load Testing,UPS failover testing,,Test UPS failover and automatic transfer switch operation,Electrical Eng,Robert Martinez,2026-10-12,2026-10-16,,
Testing and Commissioning,Electrical Load Testing,Electrical Load Testing,Test report,,Compile and issue the electrical load test report,Electrical Eng,Jessica Brown,2026-10-19,2026-10-23,,
Testing and Commissioning,Cooling Performance Verification,Cooling Performance Verification,Thermal testing,,Conduct thermal mapping and cooling performance tests,Mechanical Engineering,Marcus Brown,2026-10-06,2026-10-23,,
Testing and Commissioning,Cooling Performance Verification,Cooling Performance Verification,Airflow measurement,,Measure and document airflow distribution across the floor,Mechanical Engineering,Marcus Brown,2026-10-19,2026-10-30,,
Testing and Commissioning,Cooling Performance Verification,Cooling Performance Verification,PUE calculation,,Calculate and verify the power usage effectiveness figure,Mechanical Engineering,Marcus Brown,2026-10-26,2026-11-06,,
Testing and Commissioning,Network and Security Testing,Network and Security Testing,Network performance testing,,Test network throughput and latency under full load,Electrical Eng,Jessica Brown,2026-10-20,2026-10-30,,
Testing and Commissioning,Network and Security Testing,Network and Security Testing,Security penetration testing,,Conduct penetration testing of the network infrastructure,Electrical Eng,Jessica Brown,2026-11-02,2026-11-13,,
Testing and Commissioning,Network and Security Testing,Network and Security Testing,Access control testing,,Test physical and logical access control systems,Electrical Eng,Robert Martinez,2026-11-09,2026-11-20,,
Testing and Commissioning,Network and Security Testing,Network and Security Testing,Test report,,Compile and issue the network and security test report,Electrical Eng,Jessica Brown,2026-11-23,2026-11-27,,
Closure and Handover,Final Inspection and Sign-off,Final Inspection and Sign-off,Punch list review,,Review and close out all outstanding punch list items,Project Management,John Davis,2026-11-17,2026-11-27,,
Closure and Handover,Final Inspection and Sign-off,Final Inspection and Sign-off,Regulatory inspection,,Coordinate and facilitate the regulatory inspection,Project Management,John Davis,2026-11-25,2026-12-01,,
Closure and Handover,Final Inspection and Sign-off,Final Inspection and Sign-off,Client sign-off,,Obtain formal client sign-off on project completion,Project Management,John Davis,2026-12-01,2026-12-04,,
Closure and Handover,Documentation and As-Built Drawings,Documentation and As-Built Drawings,As-built drawing compilation,,Compile and issue as-built drawings for all disciplines,Project Management,John Davis,2026-11-17,2026-12-04,,
Closure and Handover,Documentation and As-Built Drawings,Documentation and As-Built Drawings,O&M manual preparation,,Prepare operation and maintenance manuals for all systems,Project Management,John Davis,2026-11-24,2026-12-11,,
Closure and Handover,Documentation and As-Built Drawings,Documentation and As-Built Drawings,Training material,,Prepare and deliver client training documentation,Project Management,John Davis,2026-12-07,2026-12-14,,
Closure and Handover,Documentation and As-Built Drawings,Documentation and As-Built Drawings,Document handover,,Compile and deliver the final document package to the client,Project Management,John Davis,2026-12-14,2026-12-18,,
